rank,romaji_title,english_title,native_title,description,genres,tags,popularity,average_score,favourites,trending,chapters,volumes,format,status,source,start_date,end_date,external_links,semantic_text,word_count
2,Na Honjaman Level Up,Solo Leveling,나 혼자만 레벨업,"In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers. (Source: Tappytoon) Note: Chapter count includes a prologue and 21 side stories.","Action, Adventure, Fantasy","Dungeon, Male Protagonist, Super Power, War, Full Color, Magic, Necromancy, Urban Fantasy, Gods, Primarily Adult Cast, Politics, Demons, Post-Apocalyptic, Tragedy, Video Games, Foreign, Memory Manipulation, Anti-Hero, Time Manipulation, Bullying, Estranged Family, Age Regression, Assassins, Chimera, Heterosexual, Language Barrier, Time Skip, Long Strip",249103,85,29401,6,201.0,,MANGA,FINISHED,OTHER,2018-03-04,2023-05-31,KakaoPage: https://page.kakao.com/content/50866481 | Webnovel: https://www.webnovel.com/comic/15227640605485101 | Tappytoon: https://www.tappytoon.com/en/book/solo-leveling-official | Tapas: https://tapas.io/series/solo-leveling-comic/info | Piccoma: https://piccoma.com/web/product/5523?etype=episode | Kakao Webtoon: https://th.kakaowebtoon.com/content/solo_leveling/48 | Kakao Webtoon: https://tw.kakaowebtoon.com/content/我獨自升級/53 | Pocket Comics: https://www.pocketcomics.com/comic/320 | Kakao Webtoon: https://webtoon.kakao.com/content/나-혼자만-레벨업/2320 | Delitoon: https://www.delitoon.de/detail/dad_4100014 | Manta: https://manta.net/en/series/solo-leveling?seriesId=2729 | Yen Press: https://yenpress.com/series/solo-leveling-comic | Delitoon: https://www.delitoon.com/detail/daf_4100080,"Na Honjaman Level Up is a action  adventure  fantasy manga. It includes themes like dungeon  male protagonist  super power  war  full color  magic  necromancy  urban fantasy  gods  primarily adult cast  politics  demons  post-apocalyptic  tragedy  video games  foreign  memory manipulation  anti-hero  time manipulation  bullying  estranged family  age regression  assassins  chimera  heterosexual  language barrier  time skip  long strip. In a world where awakened beings called “Hunters” must battle deadly monsters to protect humanity, Seong Jin-U, nicknamed “the weakest hunter of all mankind,” finds himself in a constant struggle for survival. One day, after a brutal encounter in an overpowered dungeon wipes out his party and threatens to end his life, a mysterious System chooses him as its sole player: Jin-U has been granted the rare opportunity to level up his abilities, possibly beyond any known limits. Follow Jin-U’s journey as he takes on ever-stronger enemies, both human and monster, to discover the secrets deep within the dungeons and the ultimate extent of his powers. ( Also known as: Solo Leveling. Also known as: 나 혼자만 레벨업.",174
13,Vagabond,Vagabond,バガボンド,"At seventeen years of age, Miyamoto Musashi--still known by his childhood name, Shinmen Takezo--was a wild young brute just setting out along the way of the sword. In the aftermath of the epic Battle of Sekigahara, Takezo finds himself a fugitive survivor on the losing side of the war. Takezo's vicious nature has made him an outcast even in his own village, and he is hunted down like an animal. At this crucial crossroads in Takezo's life, an eccentric monk and a childhood friend are the only ones who can help him find his way. (Source: Viz Media)","Action, Adventure, Drama","Swordplay, Seinen, Samurai, Historical, Philosophy, Travel, Coming of Age, Male Protagonist, Martial Arts, Tragedy, Survival, Cultivation, Biographical, Gore, Rural, Heterosexual, War, Outdoor Activities, Ghost, Agriculture, Classic Literature, Fugitive, Language Barrier, Nudity, Afterlife, Rape",136188,91,17661,9,,,MANGA,RELEASING,OTHER,1998-09-03,,Viz: https://www.viz.com/vagabond | Official Site: https://morning.kodansha.co.jp/c/vagabond.html | Kodansha: https://www.kodansha.co.jp/titles/1000002199,"Vagabond is a action  adventure  drama manga. It includes themes like swordplay  seinen  samurai  historical  philosophy  travel  coming of age  male protagonist  martial arts  tragedy  survival  cultivation  biographical  gore  rural  heterosexual  war  outdoor activities  ghost  agriculture  classic literature  fugitive  language barrier  nudity  afterlife  rape. At seventeen years of age, Miyamoto Musashi--still known by his childhood name, Shinmen Takezo--was a wild young brute just setting out along the way of the sword. In the aftermath of the epic Battle of Sekigahara, Takezo finds himself a fugitive survivor on the losing side of the war. Takezo's vicious nature has made him an outcast even in his own village, and he is hunted down like an animal. At this crucial crossroads in Takezo's life, an eccentric monk and a childhood friend are the only ones who can help him find his way. ( Also known as: バガボンド.",144
19,Jeonjijeok Dokja Sijeom,Omniscient Reader,전지적 독자 시점,"Back then, Dok-Ja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dok-Ja will go on a journey to change the course of the story and save humankind once and for all. (Source: WEBTOONS, edited)","Action, Adventure, Fantasy","Survival, Post-Apocalyptic, Death Game, Full Color, Meta, Gods, Male Protagonist, Denpa, POV, Time Loop, Tragedy, Philosophy, Astronomy, Found Family, Cosmic Horror, Suicide, Primarily Adult Cast, Historical, Battle Royale, Isekai, Swordplay, Body Horror, Age Regression, Dragons, Parody, Ensemble Cast, Long Strip, Trains, Adoption, Crossover, Demons, Angels, Terrorism, Afterlife, Female Protagonist, Zombie",104251,85,10985,36,,,MANGA,RELEASING,OTHER,2020-05-26,,Naver Webtoon: https://comic.naver.com/webtoon/list.nhn?titleId=747269 | Webtoons: https://www.webtoons.com/en/action/omniscient-reader/list?title_no=2154 | Webtoons: https://www.webtoons.com/th/fantasy/omniscient-reader/list?title_no=2106 | Webtoons: https://www.webtoons.com/zh-hant/fantasy/duzhe/list?title_no=2089 | Webtoons: https://www.webtoons.com/es/fantasy/omniscient-reader/list?title_no=2208 | Webtoons: https://www.webtoons.com/fr/fantasy/omniscient-reader/list?title_no=2175 | Naver Series: https://series.naver.com/comic/detail.series?productNo=5133669 | Webtoons: https://manga.line.me/product/periodic?id=Z0000822 | Webtoons: https://www.webtoons.com/de/fantasy/omniscient-reader/list?title_no=2582 | Yen Press: https://yenpress.com/series/omniscient-reader-s-viewpoint,"Jeonjijeok Dokja Sijeom is a action  adventure  fantasy manga. It includes themes like survival  post-apocalyptic  death game  full color  meta  gods  male protagonist  denpa  pov  time loop  tragedy  philosophy  astronomy  found family  cosmic horror  suicide  primarily adult cast  historical  battle royale  isekai  swordplay  body horror  age regression  dragons  parody  ensemble cast  long strip  trains  adoption  crossover  demons  angels  terrorism  afterlife  female protagonist  zombie. Back then, Dok-Ja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dok-Ja will go on a journey to change the course of the story and save humankind once and for all. ( Also known as: Omniscient Reader. Also known as: 전지적 독자 시점.",154
75,Kokou no Hito,The Climber,孤高の人,"On his first day of transferring to a new high school, a loner named Mori Buntarou, is cajoled by a classmate into climbing the school building. Despite knowing that one misstep could send him spiraling to his death, he moves forward, and upon finally reaching the top, Mori experiences a sense of fulfillment. That feeling, which seems to be telling him, ""You're alive!"" gives birth to an adrenaline for rock-climbing.","Adventure, Drama, Psychological, Sports","Outdoor Activities, Coming of Age, Seinen, Travel, Mountaineering, Tragedy, Male Protagonist, Primarily Male Cast, Primarily Adult Cast, Survival, Hikikomori, Wilderness, Time Skip, Fitness, Suicide, Anti-Hero, Dissociative Identities, Foreign, Delinquents, School, Nudity, School Club",54452,87,4633,5,170.0,17.0,MANGA,FINISHED,OTHER,2007-11-01,2011-11-10,Official Site: https://www.viz.com/climber,"Kokou no Hito is a adventure  drama  psychological  sports manga. It includes themes like outdoor activities  coming of age  seinen  travel  mountaineering  tragedy  male protagonist  primarily male cast  primarily adult cast  survival  hikikomori  wilderness  time skip  fitness  suicide  anti-hero  dissociative identities  foreign  delinquents  school  nudity  school club. On his first day of transferring to a new high school, a loner named Mori Buntarou, is cajoled by a classmate into climbing the school building. Despite knowing that one misstep could send him spiraling to his death, he moves forward, and upon finally reaching the top, Mori experiences a sense of fulfillment. That feeling, which seems to be telling him, ""You're alive!"" gives birth to an adrenaline for rock-climbing. Also known as: The Climber. Also known as: 孤高の人.",126
90,SSS-geup Jugeoya Saneun Hunter,SSS-Class Revival Hunter,SSS급 죽어야 사는 헌터,"In the mysterious, RPG dungeon-like Tower, Confucius Kim lives a mundane existence, envying all the star hunters. One day, his wish for more is granted with a legendary skill to copy others’ abilities… at the cost of his life. Before he can make sense of it, he’s killed by the #1 hunter, the Flame Emperor! But this activates his skill and now he’s copied a new one, the ability to travel back in time upon death. How will Confucius use these skills to outplay the competition and rise to the top? (Source: Tapas)","Action, Adventure, Drama, Fantasy, Supernatural","Time Manipulation, Full Color, Male Protagonist, Suicide, Dungeon, Urban Fantasy, Ghost, Revenge, Philosophy, Primarily Adult Cast, Tragedy, Cultivation, Age Regression, Memory Manipulation, Martial Arts, Heterosexual, Wuxia, Necromancy, Long Strip, Marriage, Bullying, Goblin",50762,82,3751,8,,,MANGA,RELEASING,OTHER,2020-12-31,,KakaoPage: https://page.kakao.com/home?seriesId=56243215 | Tapas: https://tapas.io/series/sss-class-revival-hunter/info | Kakao Webtoon: https://tw.kakaowebtoon.com/content/SSS級死而復生的獵人/96 | Kakao Webtoon: https://th.kakaowebtoon.com/content/นักล่าพลีชีพ_ระดับ_SSS/98 | Piccoma: https://piccoma.com/web/product/65543 | Kakao Webtoon: https://webtoon.kakao.com/content/SSS급-죽어야-사는-헌터/2454 | Yen Press: https://yenpress.com/series/sss-class-revival-hunter | Delitoon: https://www.delitoon.com/detail/daf_1000836,"SSS-geup Jugeoya Saneun Hunter is a action  adventure  drama  fantasy  supernatural manga. It includes themes like time manipulation  full color  male protagonist  suicide  dungeon  urban fantasy  ghost  revenge  philosophy  primarily adult cast  tragedy  cultivation  age regression  memory manipulation  martial arts  heterosexual  wuxia  necromancy  long strip  marriage  bullying  goblin. In the mysterious, RPG dungeon-like Tower, Confucius Kim lives a mundane existence, envying all the star hunters. One day, his wish for more is granted with a legendary skill to copy others’ abilities… at the cost of his life. Before he can make sense of it, he’s killed by the #1 hunter, the Flame Emperor! But this activates his skill and now he’s copied a new one, the ability to travel back in time upon death. How will Confucius use these skills to outplay the competition and rise to the top? ( Also known as: SSS-Class Revival Hunter. Also known as: SSS급 죽어야 사는 헌터.",153
121,Onani Master Kurosawa,,オナニーマスター黒沢,"Kakeru Kurosawa is an asocial junior high school student. He rarely associates with his classmates, and he looks down on them. But this behavior is topped off by a certain bad habit, his closely guarded secret: every day after school, he sneaks in to the rarely used girls' toilet on the 3rd floor and masturbates in a stall. Kakeru's shadowy routine remains undisturbed until one day, when a diminutive girl from his class, Aya Kitahara, almost discovers him. Their meeting begins a coming-of-age story dealing with blackmail, bullying, revenge, heartbreak, and ultimately, redemption. (Source: Anime News Network) Note: Includes a side story.","Drama, Psychological, Romance","Coming of Age, Masturbation, Bullying, Male Protagonist, School, Revenge, Primarily Teen Cast, Anti-Hero, Philosophy, Tragedy, Love Triangle, Heterosexual, Delinquents, Tsundere, Rape",41402,82,3215,0,31.0,4.0,MANGA,FINISHED,OTHER,2007-09-01,2008-03-01,Nico Nico Seiga: https://manga.nicovideo.jp/comic/6164,"Onani Master Kurosawa is a drama  psychological  romance manga. It includes themes like coming of age  masturbation  bullying  male protagonist  school  revenge  primarily teen cast  anti-hero  philosophy  tragedy  love triangle  heterosexual  delinquents  tsundere  rape. Kakeru Kurosawa is an asocial junior high school student. He rarely associates with his classmates, and he looks down on them. But this behavior is topped off by a certain bad habit, his closely guarded secret: every day after school, he sneaks in to the rarely used girls' toilet on the 3rd floor and masturbates in a stall. Kakeru's shadowy routine remains undisturbed until one day, when a diminutive girl from his class, Aya Kitahara, almost discovers him. Their meeting begins a coming-of-age story dealing with blackmail, bullying, revenge, heartbreak, and ultimately, redemption. ( Also known as: nan. Also known as: オナニーマスター黒沢.",136
123,Gwihwanjaui Mabeobeun Teukbyeolhaeya Hamnida,A Returner's Magic Should Be Special,귀환자의 마법은 특별해야 합니다,"The worst calamity humankind has ever faced... Shadow Realms have ravaged the earth and decimated almost everyone in their way. The survival of humanity hinges upon the success of just six mages, including analytic fighter Desir Herrman. The remaining heroes make one final stand to end the bloodshed...but to no avail. Desir closes his eyes on what should be the end of his life—only to open them and see the beginning of his school days?! Desir has returned thirteen years back to the past, where he’s been given another chance. A chance to see the loved ones he lost, a chance to meet his fellow warriors again, and a chance to save the world…! (Source: Yen Press)","Action, Adventure, Fantasy","Male Protagonist, Magic, Lost Civilization, Full Color, Terrorism, Age Regression, School, Time Manipulation, War, Swordplay, Time Skip, Demons, Reincarnation, Historical, Dungeon, Ensemble Cast, Tsundere, Conspiracy, Espionage, Ojou-sama, Gore, Tragedy, Love Triangle, Long Strip, Female Harem",41278,76,1757,1,268.0,,MANGA,FINISHED,OTHER,2018-05-20,2024-06-22,KakaoPage: https://page.kakao.com/home/51185123 | Tappytoon: https://www.tappytoon.com/comics/returners-magic-should-be-special | Tapas: https://tapas.io/series/a-returners-magic-should-be-special/info | Kakao Webtoon: https://tw.kakaowebtoon.com/content/重生者的魔法一定要特別/125 | Kakao Webtoon: https://th.kakaowebtoon.com/content/พลังขั้นเทพของจอมเวทจุติใหม่/49 | Yen Press: https://yenpress.com/series/a-returner-s-magic-should-be-special | Tappytoon: https://www.tappytoon.com/fr/book/returners-magic-should-be-special-fr | Toomics: https://toomics.com/en/webtoon/episode/toon/8603,"Gwihwanjaui Mabeobeun Teukbyeolhaeya Hamnida is a action  adventure  fantasy manga. It includes themes like male protagonist  magic  lost civilization  full color  terrorism  age regression  school  time manipulation  war  swordplay  time skip  demons  reincarnation  historical  dungeon  ensemble cast  tsundere  conspiracy  espionage  ojou-sama  gore  tragedy  love triangle  long strip  female harem. The worst calamity humankind has ever faced... Shadow Realms have ravaged the earth and decimated almost everyone in their way. The survival of humanity hinges upon the success of just six mages, including analytic fighter Desir Herrman. The remaining heroes make one final stand to end the bloodshed...but to no avail. Desir closes his eyes on what should be the end of his life—only to open them and see the beginning of his school days?! Desir has returned thirteen years back to the past, where he’s been given another chance. A chance to see the loved ones he lost, a chance to meet his fellow warriors again, and a chance to save the world…! ( Also known as: A Returner's Magic Should Be Special. Also known as: 귀환자의 마법은 특별해야 합니다.",180
135,Na Honja Mallep Newbie,I’m the Max-Level Newbie,나 혼자 만렙 뉴비,"Kang Jin-Hyeok, a gaming streamer, and content creator is the only person who has cleared the game, [Tower of Trials]. However, as the game’s popularity declines, it becomes increasingly difficult for him to continue making a living as a content creator. Jinhyeok prepares to end his 11-year-long relationship with the game and say goodbye to his humble group of subscribers. But on that very day, the Tower of Trials appears in reality with a message saying that humanity will perish unless all players clear each floor within 90 days. Jin-Hyeok, who knows the game better than anyone, decides to use his knowledge to his advantage and dominate the tower. It’s time to show everyone what a hardcore gamer can do! (Source: Tappytoon, edited)","Action, Adventure, Fantasy","Full Color, Male Protagonist, Dungeon, Magic, Urban Fantasy, Anti-Hero, Video Games, Demons, Vampire, Primarily Adult Cast, Gods, Heterosexual, Long Strip, Dragons, Nun, Time Skip",38399,77,2030,6,,,MANGA,RELEASING,OTHER,2021-07-29,,Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=773797 | Tappytoon: https://www.tappytoon.com/en/comics/im-the-max-level-newbie | Webtoons: https://www.webtoons.com/en/action/im-the-max-level-newbie/list?title_no=3915 | Naver Series: https://series.naver.com/comic/detail.series?productNo=6430046 | Webtoons: https://www.webtoons.com/de/fantasy/im-the-max-level-newbie/list?title_no=3735 | Webtoons: https://www.webtoons.com/fr/fantasy/max-level-newbie/list?title_no=3517 | Webtoons: https://www.webtoons.com/zh-hant/fantasy/max-level/list?title_no=3509 | Dongman Manhua: https://www.dongmanmanhua.cn/BOY/woduzimanjixinshou/list?title_no=1877 | Webtoons: https://www.webtoons.com/th/fantasy/max-level-newbie/list?title_no=3457,"Na Honja Mallep Newbie is a action  adventure  fantasy manga. It includes themes like full color  male protagonist  dungeon  magic  urban fantasy  anti-hero  video games  demons  vampire  primarily adult cast  gods  heterosexual  long strip  dragons  nun  time skip. Kang Jin-Hyeok, a gaming streamer, and content creator is the only person who has cleared the game, [Tower of Trials]. However, as the game’s popularity declines, it becomes increasingly difficult for him to continue making a living as a content creator. Jinhyeok prepares to end his 11-year-long relationship with the game and say goodbye to his humble group of subscribers. But on that very day, the Tower of Trials appears in reality with a message saying that humanity will perish unless all players clear each floor within 90 days. Jin-Hyeok, who knows the game better than anyone, decides to use his knowledge to his advantage and dominate the tower. It’s time to show everyone what a hardcore gamer can do! ( Also known as: I’m the Max-Level Newbie. Also known as: 나 혼자 만렙 뉴비.",173
139,Yeokdaegeum Yeongji Seolgyesa,The Greatest Estate Developer,역대급 영지 설계사,"When civil engineering student Su-Ho Kim falls asleep reading a fantasy novel, he wakes up as a character in the book! Su-Ho is now in the body of Lloyd Frontera, a lazy noble who loves to drink, and whose family is in a mountain of debt. Using his engineering knowledge, Su-Ho designs inventions to avert the terrible future that lies in wait for him. With the help of a giant hamster, a knight, and the world’s magic, can Su-Ho dig his new family out of debt and build a better future? (Source: WEBTOONS, edited)","Adventure, Comedy, Fantasy","Anachronism, Economics, Surreal Comedy, Male Protagonist, Royal Affairs, Isekai, Anti-Hero, Kingdom Management, Demons, Full Color, Politics, Magic, Long Strip, Rural, Zombie, Dragons, Angels, Butler, Animals, Parody, Cult, Agriculture, Military, Swordplay, Necromancy, Chimera",37820,87,3815,10,,,MANGA,RELEASING,OTHER,2021-08-05,,Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=777767&page=1 | Naver Series: https://series.naver.com/comic/detail.series?productNo=6448122 | Webtoons: https://www.webtoons.com/en/fantasy/the-greatest-estate-developer/list?title_no=3596 | Dongman Manhua: http://www.dongmanmanhua.cn/BOY/shishijilingdishejishi/list?title_no=1922 | Webtoons: https://www.webtoons.com/th/fantasy/the-greatest-estate-developer/list?title_no=4646 | Webtoons: https://www.webtoons.com/zh-hant/fantasy/estatedeveloper/list?title_no=4354 | Webtoons: https://www.webtoons.com/fr/fantasy/estatedeveloper/list?title_no=5188 | Webtoons: https://www.webtoons.com/es/fantasy/the-greatest-estate-developer/list?title_no=7948,"Yeokdaegeum Yeongji Seolgyesa is a adventure  comedy  fantasy manga. It includes themes like anachronism  economics  surreal comedy  male protagonist  royal affairs  isekai  anti-hero  kingdom management  demons  full color  politics  magic  long strip  rural  zombie  dragons  angels  butler  animals  parody  cult  agriculture  military  swordplay  necromancy  chimera. When civil engineering student Su-Ho Kim falls asleep reading a fantasy novel, he wakes up as a character in the book! Su-Ho is now in the body of Lloyd Frontera, a lazy noble who loves to drink, and whose family is in a mountain of debt. Using his engineering knowledge, Su-Ho designs inventions to avert the terrible future that lies in wait for him. With the help of a giant hamster, a knight, and the world’s magic, can Su-Ho dig his new family out of debt and build a better future? ( Also known as: The Greatest Estate Developer. Also known as: 역대급 영지 설계사.",150
140,Dubeon Saneun Ranker,Second Life Ranker,두번사는랭커,"Yeonwoo’s brother disappeared years ago, and he’s devastated to learn of his death. As he copes with his loss, he’s given a pocket watch and learns there’s more to his brother’s death: he was betrayed while competing in the Tower of the Sun God. Now it’s Yeonwoo’s turn to use the knowledge his brother left behind. Can Yeonwoo (call sign: Cain) navigate that world and gain enough power and experience to reach the top of the tower, defeating his brother’s enemies and all those who stand in his way? (Source: Tapas)","Action, Adventure, Fantasy","Alternate Universe, Revenge, Full Color, Male Protagonist, Twins, Gods, Dungeon, Survival, Mythology, Anti-Hero, Dragons, Goblin, Military, Demons, Long Strip",37774,77,1859,1,,,MANGA,RELEASING,OTHER,2019-05-16,,KakaoPage: https://page.kakao.com/content/52697368 | Tapas: https://tapas.io/series/second-life-ranker/info | Kakao Webtoon: https://tw.kakaowebtoon.com/content/異界攻塔戰記/36 | Piccoma: https://piccoma.com/web/product/30298 | Kakao Webtoon: https://webtoon.kakao.com/content/두-번-사는-랭커/2335?tab=episode,"Dubeon Saneun Ranker is a action  adventure  fantasy manga. It includes themes like alternate universe  revenge  full color  male protagonist  twins  gods  dungeon  survival  mythology  anti-hero  dragons  goblin  military  demons  long strip. Yeonwoo’s brother disappeared years ago, and he’s devastated to learn of his death. As he copes with his loss, he’s given a pocket watch and learns there’s more to his brother’s death: he was betrayed while competing in the Tower of the Sun God. Now it’s Yeonwoo’s turn to use the knowledge his brother left behind. Can Yeonwoo (call sign: Cain) navigate that world and gain enough power and experience to reach the top of the tower, defeating his brother’s enemies and all those who stand in his way? ( Also known as: Second Life Ranker. Also known as: 두번사는랭커.",132
